Country Code,City,Location,Coordinates,Pollutant,Source Name,Unit,Value,Last Updated,Country Label
PT,Faro,PT05012,"37.3125,-7.678611",SO2,EEA Portugal,µg/m³,23.2,2021-08-06T12:00:00+02:00,Portugal
US,Medford,Shady Cove - Shady C,"42.623225,-122.810158",PM2.5,AirNow,µg/m³,23.3,2021-08-06T13:00:00+02:00,United States
US,LAKE,Lakeview - Center &,"42.189215,-120.353969",PM2.5,AirNow,µg/m³,23.3,2021-08-06T13:00:00+02:00,United States
US,Canton-Massillon,Canton,"40.800717,-81.373",PM2.5,AirNow,µg/m³,23.4,2021-08-06T13:00:00+02:00,United States
US,Louisville,Near Road,"38.1935,-85.7121",PM2.5,AirNow,µg/m³,23.4,2021-08-06T13:00:00+02:00,United States
DE,Sachsen-Anhalt,DEST102,"51.494756,11.981314",PM2.5,EEA Germany,µg/m³,23.47,2021-08-06T02:00:00+02:00,Germany
CL,Concón,Concón,"-32.924568,-71.515399",SO2,Chile - SINCA,µg/m³,23.57,2021-08-06T13:00:00+02:00,Chile
US,Oklahoma City,Near Road OKC,"35.502968,-97.577674",PM2.5,AirNow,µg/m³,23.6,2021-08-06T13:00:00+02:00,United States
US,Lake Charles,Westlake,"30.2625,-93.285",PM2.5,AirNow,µg/m³,23.7,2021-08-06T13:00:00+02:00,United States
BG,Варна,BG0075A,"43.224389,27.915733",NO2,EEA Bulgaria,µg/m³,23.75,2021-08-06T12:00:00+02:00,Bulgaria
US,New York-Northern New Jersey-Long Island,Holtsville,"40.8278,-73.0575",PM2.5,AirNow,µg/m³,23.9,2021-08-06T13:00:00+02:00,United States
US,Cincinnati-Middletown,Cincinnati Near Road,"39.146025,-84.538375",PM2.5,AirNow,µg/m³,23.9,2021-08-06T13:00:00+02:00,United States
HU,Szabolcs-Szatmár-Bereg,HU0028A,"47.9611129795,21.70583916",NO2,EEA Hungary,µg/m³,23.966225,2021-08-06T13:00:00+02:00,Hungary
CN,清远市,技师学院,"23.6344,113.0477",NO2,ChinaAQIData,µg/m³,24.0,2021-08-06T13:00:00+02:00,China
IT,Rimini,IT1044A,"44.05222,12.57556",NO2,EEA Italy,µg/m³,24.0,2021-08-06T11:00:00+02:00,Italy
